name,id,,name,id
Kaggalipura,44945,,,
kaikondrahalli,36579,,,
Kalasipalayam,44834,,,
Kalena Agrahara,42154,,,
Kalkere,35873,,,
Kalkunte,45862,,,
Kallahalli,45955,,,
Kallumantapa,44709,,,
Kalyan Nagar,351,,,
Kamaksipalya,45248,,,
Kamala Nagar,40877,,,
Kamanahalli,43155,,,
Kambalipura,45917,,,
Kambipura,45928,,,
Kammanahalli,356,,,
Kammasandra,42511,,,
Kammasandra Agrahara,26445,,,
Kanaka Nagar,44689,,,
Kanakapura,358,,,
Kanakapura Road,24126,,,
Kannamangala,42539,,,
Kartik Nagar,45112,,,
Karuna Nagar,44609,,,
Kasavanahalli,5236,,,
Kasturi Nagar,23658,,,
Kathriguppe,44599,,,
Kattigenahalli,36294,,,
Kaval Byrasandra,29982,,,
Kempapura,45220,,,
Kempegowda Nagar,29025,,,
Kengeri,369,,,
Kengeri Satellite Town,36610,,,
Kithiganur,45200,,,
Kodathi,44589,,,
Kodichikkanahalli,374,,,
Kodigehalli,27292,,,
Kodigehalli - KR Puram,45455,,,
Kodihalli,27298,,,
Kodipur,43640,,,
Kogilu,43356,,,
Kolar Road,27300,,,
Kolar-Chikkaballapur Road,36625,,,
Kommaghatta,45739,,,
Konanakunte,35868,,,
Konena Agrahara,46061,,,
Koppa,26468,,,
Koralur,45435,,,
Koramangala,380,,,
Kothanoor,45408,,,
Kothanur,381,,,
Koti Hosahalli,45550,,,
Kudlu,44957,,,
Kudlu Gate,28594,,,
Kuduragere,46192,,,
Kumaraswamy Layout,387,,,
Kumbalgodu,45303,,,
Kundalahalli,14,,,
Kunigal Road,45422,,,
Kurudusonnenahalli,45874,,,
Kuthaganahalli,45239,,,
Laggere,36539,,,
Lake City,44917,,,
Lakshmamma Layout,45013,,,
lal bagh,24241,,,
Langford Road,35871,,,
Langford Town,719,,,
Lavelle Road,401,,,
LB Shastri Nagar,391,,,
Lingadheeranahalli,45553,,,
Lingarajapuram,403,,,
Madhava Nagar,45047,,,
Madiwala,9,,,
Magadi Road,414,,,
Mahadevapura,416,,,
Mahalakshmi Layout,418,,,
Majestic,36592,,,
Mallathahalli,36272,,,
Malleshpalya,424,,,
Malleshwaram,425,,,
Malur-Hosur Road,36578,,,
Marathahalli,7,,,
Marathahalli ORR,36069,,,
Marathahalli-Sarjapur Outer Ring Road,2,,,
Margondanahalli,44234,,,
Maruthi Nagar,433,,,
Maruthi Nagar (Yelahanka),44829,,,
Maruthi Sevanagar,434,,,
Masti - Malur Road,45906,,,
Mathikere,436,,,
Mayaghanahalli,45880,,,
Medihalli,45573,,,
Meenakunte,45453,,,
MG Road,12,,,
Mico Layout,28630,,,
Millers Road,446,,,
MS Palya,35992,,,
Munireddy Layout,44708,,,
Munireddypalya,45048,,,
Munnekollal,44634,,,
Murugeshpalya,29878,,,
Mysore Road,466,,,
Nagadevanahalli,45622,,,
Nagarbhavi,29317,,,
Nagarbhavi Circle,25730,,,
Nagasandra,36732,,,
Nagavara,25907,,,
Nagondanahalli,45502,,,
Nallurhalli,44555,,,
Nandi Hills,27946,,,
Nandini Layout,37401,,,
Nanjappa Garden,44710,,,
Narasapura,35888,,,
Narayanapura,45922,,,
National Highway 207,28926,,,
Nayanda Halli,44681,,,
Neeladri Nagar,44610,,,
Neelasandra,41536,,,
Nehru Nagar,45568,,,
Nelamangala,489,,,
Nelamangala - Chikkaballapura Road,45301,,,
New BEL Road,493,,,
New Thippasandra,497,,,
Nobo Nagar,45080,,,
NRI Layout,41916,,,
Off Sarjapur road,40097,,,
Old Airport Road,35,,,
Old Madras Road,505,,,
OMBR Layout,508,,,
Outer Ring Road,512,,,
Padmanabha Nagar,514,,,
Pai Layout,515,,,
Palace Road,518,,,
Panathur,24116,,,
Panduranga Nagar,519,,,
Pattandur Agrahara,44572,,,
Pattegarhpalya,45900,,,
Peenya,522,,,
Prashanth Nagar,30881,,,
R.K. Hegde Nagar,44221,,,
Race Course Road,538,,,
Rachenahalli,45237,,,
Ragavendra Nagar,36541,,,
Raghavendra Colony,45042,,,
Raghuvanahalli,46034,,,
Raja Rajeshwari Nagar,27088,,,
Rajaji Nagar,543,,,
Rajanukunte,544,,,
Rajiv Gandhi Nagar,44985,,,
Ramagondanahalli,44574,,,
Ramamurthy Nagar,27097,,,
Ramohalli,42744,,,
Rayasandra,41172,,,
Residency Road,35870,,,
Rest House Road,5415,,,
Richard's Park,34038,,,
Richards Town,5356,,,
Richmond Road,559,,,
Richmond Town,720,,,
RMV,29111,,,
RMV 2nd Stage,25505,,,
RMV Extension,27109,,,
Roopena Agrahara,44912,,,
RT Nagar,27112,,,
S.Medihalli,45474,,,
Sadashiva Nagar,570,,,
Sadduguntepalya,42498,,,
Sahakara Nagar,572,,,
Sampangi Rama Nagar,27582,,,
Sampigehalli,45364,,,
Sanjay Nagar,27127,,,
Sankey Road,45205,,,
Sarjapur,587,,,
Sarjapur Attibele Road,37288,,,
Sarjapur Bagalur Road,33125,,,
Sarjapur Road,27694,,,
Sathanur,45929,,,
Seegehalli,44656,,,
Seenappa Layout,44913,,,
Seshadripuram,594,,,
Shankarapura,45577,,,
Shanthala Nagar,45040,,,
Shanthi Nagar,597,,,
Shanthi Pura,44997,,,
Shettigere,46167,,,
Shettihalli,27171,,,
Shigehalli,44474,,,
Shivaji Nagar,600,,,
Siddapura,44573,,,
Sidlaghatta,36524,,,
Silk Board,26650,,,
Silver Springs Layout,44635,,,
Singanahalli,37079,,,
Singasandra,609,,,
SMV Layout,35878,,,
Solur,37929,,,
Somashetti Halli,45606,,,
Sompura,44602,,,
Sonnenahalli,44835,,,
Soukya Road,45292,,,
Soundarya Layout,43336,,,
Srinagar,42717,,,
Srinivasa Nagar,617,,,
Srirampura,44696,,,
St. Johns Road,620,,,
Subramanyapura,35875,,,
Sudhama Nagar,35882,,,
Sulikere,45871,,,
Sunkadakatte,36599,,,
Suryanagar,45136,,,
T Dasarahalli,39390,,,
Talaghattapura,45284,,,
Tavarekere-BTM,644,,,
TC Palya Road,27702,,,
Teacher's Colony,44879,,,
Thanisandra,646,,,
Thanisandra Main Road,33405,,,
Tharaballi,45280,,,
Tharabanahalli,44646,,,
Thavarekere-Magadi Road,43045,,,
Thippasandra,652,,,
Thubarahalli,25735,,,
Thurahalli,34565,,,
Tilak Nagar,45630,,,
Tippenahalli,45338,,,
Tumkur Road,27500,,,
Ullal,36261,,,
Ulsoor,662,,,
Uttarahalli,666,,,
Uttarahalli,26304,,,
Uttarahalli Main Road,45234,,,
Vaderahalli,45764,,,
Varthur,673,,,
Varthur Road,27614,,,
Vasanth Nagar,675,,,
Vasanthapura,45215,,,
Veerannapalya,46008,,,
Vehloli,45206,,,
Venkatagiri Kote,45407,,,
Venkatapura,32058,,,
Venkateshpuram,45647,,,
Victoria Layout,35879,,,
Vidyaranyapura,686,,,
Vignana Nagar,687,,,
Vijaya Bank Colony,45014,,,
Vijayanagar,27846,,,
Vijaypura,36618,,,
Vinayaka Layout,44583,,,
Virupakshapura,44847,,,
Vishweshwaraiah Layout,36270,,,
Vittal Mallya Road,699,,,
Vittal Nagar,28803,,,
Viveka Nagar,42782,,,
Weavers Colony,44242,,,
Wheeler Road,706,,,
Whitefield,707,,,
Whitefield Road,30757,,,
Williams Town,708,,,
Wilson Garden,709,,,
Wind Tunnel Road,710,,,
Yarandahalli,45915,,,
Yelachena Halli,713,,,
Yelahanka,714,,,
Yelahanka New Town,24214,,,
Yelanahalli,45481,,,
Yemalur,41663,,,
Yeshwanthpur,718,,,
