project_name,project_by,location,Build_Up_Area,Unit_Types,Price,about_project,Project status,possesion,launched,rera_no
Sobha Arena - The Plaza,By Sobha Limited in Kanakapura Road,Kanakapura Road,1592 - 1706 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.30Cr  - 1.50Cr 							",,Ongoing,Possession: Apr-2020,Launched: Nov-2014, REGISTRATION NO. PR/KN/170729/000384
Metrotech Forest View,By Metrotech Builders in Kanakapura Road,Kanakapura Road,1372 - 1452 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														43.90L  - 46.46L 							",,Ongoing,Possession: Aug-2017,,
GR Sunshine,By GR Projects & Infrastructure Development Pvt Ltd in Bellandur,Bellandur,2710 - 2766 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														1.08Cr  - 1.10Cr 							",,Ongoing,Possession: Dec-2018,,
Vista Spaces Vera,By Vista Spaces in Malleshwaram,Malleshwaram,2300 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ongoing,Possession: Dec-2017,, REGISTRATION NO. PR/KN/170807/001174
Greenleaf Vindhya,By  in Malleshwaram,Malleshwaram,2070 - 3050 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.17Cr  - 1.72Cr 							",,Ongoing,Possession: Aug-2019,, REGISTRATION NO. PR/KN/170731/000512
Shivaganga SM Symphony,By Shivaganga Infra in Uttarahalli,Uttarahalli,1385 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														50.55L 							",,Ongoing,Possession: Aug-2018,Launched: Feb-2017,
DS Max Swiss Castle,By DS MAX Properties Pvt. Ltd. in Malleshwaram,Malleshwaram,1410 - 2855 sq.ft,"
								3 BHK Apartment
								Availability*: Sold out
							","
														 
														1.12Cr  - 2.28Cr 							",,Ongoing,Possession: May-2017,,
Ruchira Lilium,By Ruchira Projects Pvt Ltd in Kadugodi,Kadugodi,1450 - 1530 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														69.03L  - 71.48L 							",,Ongoing,Possession: May-2017,Launched: Jan-2016,
Green Fontana,By  in Koramangala,Koramangala,1400 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														91L 							",,Ongoing,,,
LVS Gardenia Phase 2,By LVS Constructions in K R Puram,K R Puram,1530 - 1800 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														53.55L  - 63L 							",,Ongoing,Possession: Mar-2018,Launched: Aug-2014, REGISTRATION NO. PR/KN/170802/000989
Aaspire Meadows,By Aaspire Mansions Pvt Ltd. in K R Puram,K R Puram,1350 - 1405 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														47.25L  - 49.17L 							",,Ongoing,Possession: Jun-2018,,
Dreamz Sarvodaya,By Dreamz Infra India Pvt Ltd in Sarjapur Road,Sarjapur Road,1500 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														45L 							",,Ongoing,Possession: Dec-2015,,
Eye Bright Lavender,By Eye Bright Developers Pvt. Ltd. in Sarjapur Road,Sarjapur Road,1200 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														75L 							",,Ongoing,,,
Aakruti Aristo Marvel,By Aakruti Group in Electronic City Phase I,Electronic City Phase I,1300 - 1550 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														53.95L  - 64.32L 							",,Ongoing,Possession: Apr-2018,,
Vaastu Structures Hill View III ,By Vaastu Structures Pvt Ltd in Raja Rajeshwari Nagar,Raja Rajeshwari Nagar,1800 - 1900 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														69.30L  - 74.10L 							",,Ongoing,Possession: Jun-2019,,
Keerthi Krishna Viva,By Keerthi Estates Pvt Ltd in Sarjapur Road,Sarjapur Road,1285 - 1780 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														69.39L  - 96.12L 							",,Ongoing,Possession: Jan-2018,Launched: Feb-2015, REGISTRATION NO. PR/KN/170830/001600
Vestaa Lushes,By Vestaa in Sarjapur Road,Sarjapur Road,1105 - 1274 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														29.82L  - 34.38L 							",,Ongoing,Possession: Aug-2017,,
SNR Verity,By SNR Square Pvt Ltd. in Sarjapur Road,Sarjapur Road,1305 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														37.19L 							",,Ongoing,Possession: Dec-2018,,
Akash Vaibhav,By  in Bommanahalli,Bommanahalli,1594 - 1764 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														85.70L  - 94.20L 							",,Ongoing,Possession: Mar-2018,Launched: Sep-2016,
Elegant Bristol,By Elegant Properties in Banaswadi,Banaswadi,1802 - 1917 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.08Cr  - 1.15Cr 							",,Ongoing,Possession: May-2017,,
Dharma Padmalaya Residency,By Dharma Construction in Banaswadi,Banaswadi,2077 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.50Cr 							",,Ongoing,Possession: Jan-2018,,
Krishna Mystiq,By Krishna Enterprises (H & I) India Pvt. Ltd. in Electronic City Phase I,Electronic City Phase I,1367 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														64.93L 							",,Ongoing,Possession: Dec-2017,,
Arun Kaustubha,By Arun Shelters Pvt Ltd in Thanisandra Main Road,Thanisandra Main Road,1267 - 1351 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														63.35L  - 67.55L 							",,Ongoing,,,
Vandhana Anugraha,By Vandhana Developers in RT Nagar,RT Nagar,1104 - 1310 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														50.78L  - 60.26L 							",,Ongoing,,,
KBR Elite,By KBR Infratech Ltd in Hebbal,Hebbal,2120 - 2275 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.43Cr  - 1.53Cr 							",,Ongoing,Possession: Dec-2017,, REGISTRATION NO. PR/KN/170823/001417
SNN Clermont,By S N N Builders Pvt Ltd in Hebbal,Hebbal,3067 - 3975 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														2.30Cr  - 2.98Cr 							",,Ongoing,Possession: Oct-2019,, REGISTRATION NO. PR/KN/170731/000666
Uber Cleveland,By UBER Corp Infrastructure LLP in Frazer Town,Frazer Town,1512 - 1530 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.36Cr  - 1.38Cr 							",,Ongoing,Possession: Jul-2019,,
Amigo Casa Feliz,By AMIGO Shelters   in Frazer Town,Frazer Town,2126 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ongoing,Possession: Dec-2018,,
Thiru Margadarshi Dhanalaksmi Enclave,By Thiru Margadarshi Construction Pvt Ltd in Frazer Town,Frazer Town,890 - 1150 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														53.40L  - 69L 							",,Ongoing,Possession: May-2017,,
Amigo Victory,By AMIGO Shelters   in Frazer Town,Frazer Town,950 - 1400 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														95L  - 1.40Cr 							",,Ongoing,Possession: May-2018,,
E Golden Abode,By Sree Krishna Rachana Developers in Electronic City Phase II,Electronic City Phase II,1141 - 1213 sq.ft,"
								2.5 BHK Apartment
								Availability*: Yes
							","
														 
														53.46L  - 56.51L 							",,Ongoing,Possession: Apr-2018,Launched: Nov-2015,
DS Max Sparkle Nest,By DS MAX Properties Pvt. Ltd. in Hennur Road,Hennur Road,1351 - 1746 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														44.58L  - 57.61L 							",,Ongoing,Possession: Jun-2018,,
Skyline Paradiso,By Skyline Group in Jakkur,Jakkur,1695 - 1810 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ongoing,,,
Triangle Sky Park ,By Triangle Realty Ventures Pvt. Ltd. in Jakkur,Jakkur,3212 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ongoing,,,
SMA Jamaal Enclave ,By SMA Real Estate & Builders in Jayanagar,Jayanagar,900 - 930 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ongoing,,,
Rajarajeshwari Parasmani Regency  ,By Rajarajeshware Buildcon Pvt Ltd in Jayanagar,Jayanagar,2303 - 2496 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														2.44Cr  - 2.64Cr 							",,Ongoing,Possession: Apr-2018,,
Manito Northlite,By Manito Builders Pvt Ltd in Yelahanka,Yelahanka,1170 - 1425 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														46.80L  - 57L 							",,Ongoing,Possession: Aug-2017,, REGISTRATION NO. PR/KN/170829/001524
GK Tropical Springs,By Gk Shelters Pvt. Ltd. Builders & Developers in Whitefield,Whitefield,1313 - 1650 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														52.52L  - 66L 							",,Ongoing,Possession: Dec-2018,,
MVS Paradise,By MVS Builders in Whitefield,Whitefield,950 - 1050 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														31.35L  - 34.65L 							",,Ongoing,Possession: Dec-2017,, REGISTRATION NO. PR/KN/170802/001037
Epshita White Palms,By Epshita Builders in Whitefield,Whitefield,1325 - 1470 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														42.40L  - 47.04L 							",,Ongoing,Possession: Sep-2017,,
Malibu Rising City,By  in Whitefield,Whitefield,1420 - 1500 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														49.70L  - 52.50L 							",,Ongoing,Possession: Dec-2017,,
Man Alpine Square,By Man Buildtech in Electronic City Phase II,Electronic City Phase II,1324 - 1495 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														43.69L  - 49.33L 							",,Ongoing,Possession: Aug-2018,Launched: Jan-2016, REGISTRATION NO. PR/KN/170731/000785
Siddhisri SS Samhita,By Siddhisri Developers in Whitefield,Whitefield,1105 - 1340 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														38.67L  - 46.90L 							",,Ongoing,Possession: Dec-2017,,
Ceear The Big Tree,By Ceear Realty in Jayanagar,Jayanagar,4387 - 4500 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														6.14Cr  - 6.30Cr 							",,Ongoing,Possession: Mar-2018,, REGISTRATION NO. PR/KN/170731/000860
HW Archstone,By Hiren Wahen Group in HBR Layout,HBR Layout,1826 - 1871 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.07Cr  - 1.10Cr 							",,Ongoing,Possession: Apr-2018,Launched: Mar-2014,
Vijayas Vaibhav II,By Vijayas Ventures Pvt. Ltd. in Electronic City Phase I,Electronic City Phase I,1073 - 1343 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														33L  - 40.29L 							",,Ongoing,Possession: Dec-2017,,
Bhavansh The Castle,By Bhavansh Infra Ltd. in Electronic City Phase I,Electronic City Phase I,1150 sq.ft,"
								2.5 BHK Apartment
								Availability*: Yes
							","
														 
														25.30L 							",,Ongoing,Possession: Nov-2019,,
Abyudhay Osel Akshaya,By  in ,,1070 - 1090 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														38L  - 40L 							",,Ongoing,Possession: Jun-2018,,
Nishitas Millennium,By Nishitas Properties in BTM Layout,BTM Layout,1465 sq.ft,"
								3 BHK Apartment
								Availability*: Sold out
							","
														 
														87.90L 							",,Ongoing,,,
SNR Luxuria,By SNR Square Pvt Ltd. in BTM Layout,BTM Layout,1500 - 1600 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														67.50L  - 72L 							",,Ongoing,Possession: Dec-2017,,
CMRS Mahavatar Heights,By CMRS Group in Brookefield,Brookefield,2380 - 2965 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														1.57Cr  - 1.95Cr 							",,Ongoing,Possession: Jun-2017,,
Hemavathi Dwarakamai,By  in Uttarahalli,Uttarahalli,1230 - 1390 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														54.12L  - 61.16L 							",,Ongoing,Possession: Jun-2018,Launched: Oct-2016,
Sky Asta,By SRC Divakars in Kanakapura Road,Kanakapura Road,1394 - 1603 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														87.78L  - 1Cr 							",,Ongoing,Possession: Oct-2017,, REGISTRATION NO. PR/KN/170728/000051
Gruha Kalyan Orchid,By Gruha Kalyan in JP Nagar,JP Nagar,1400 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														39.80L 							",,Ongoing,Possession: Sep-2018,,
NCN Diamond,By NCN Developers in Hebbal,Hebbal,1285 - 1510 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														58.83L  - 68.15L 							",,Ongoing,Possession: Dec-2017,,
Infrasquare Sattva Shubham,By  in JP Nagar,JP Nagar,1872 - 2003 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														73L  - 78.11L 							",,Ongoing,Possession: Sep-2017,,
