Project_name,project_by,location,Super Built Area,Price Range,Price Per Sq Ft,Description,Project Status,possession_date,Bedrooms,units,towers,unit_price,rera_no,lat_lng
"
Vijaya Nisarga
",Vijaya Enterprises,"
in Kanakapura Road
, Bangalore

 
","490
sqft","₹
21.4 Lac","₹
4,367 per
sqft","
Description:


It is a 1 bedroom apartment in Vijaya Nisarga, Kanakapura Road. Overlooking the mainroad this Unit has modern facilities like Swimming Pool, Reserved Parking, Lift, Power Back Up and Security and more. The Unit consists of  



",Ongoing,"
Possession in 2018
","
1 BHK
Apartment

",64 Units ,1 Towers ,"(1 BHK Flat->425 sqft), (1 BHK Flat->460 sqft), (1 BHK Flat->490 sqft), (1 BHK Flat->540 sqft), (2 BHK Flat->1175 sqft), (2 BHK Flat->1205 sqft), (2 BHK Flat->1215 sqft), (2 BHK Flat->1280 sqft), (3 BHK Flat->1300 sqft), (3 BHK Flat->1410 sqft), (3 BHK Flat->1530 sqft), (3 BHK Flat->1655 sqft) ",,"lat=12.908906,longt=77.51243"
"
Druva Daffodils
",Greenaly Shelters,"
in Varthur
, Bangalore

 
","1100
sqft","₹
31.9 Lac","₹
2,900 per
sqft","
Description:


Druva Daffodils ??Druva Daffodils?? a BBMP approved 2 & 3 BHK residential apartment is located in varthur main road , Gunjur of whitefield. The apartment has close proximity to many well known amenities / services like IT  



",Ready To Move,"
Possession in 2018
","
2 BHK
Apartment

",80 Units ,2 Towers ,"(2 BHK Flat->950 sqft), (2 BHK Flat->1050 sqft), (2 BHK Flat->1100 sqft), (2 BHK Flat->1140 sqft), (2 BHK Flat->1215 sqft), (3 BHK Flat->1150 sqft), (3 BHK Flat->1320 sqft), (3 BHK Flat->1335 sqft), (3 BHK Flat->1350 sqft), (3 BHK Flat->1515 sqft) ",,"lat=12.908906,longt=77.51243"
"
Meda Greens 
",Meda Group,"
in Mysore Road
, Bangalore

 
","1190
sqft","₹
56.1 Lac","₹
4710 per
sqft","
Description:


Meda Greens has 2&3 BHK Luxury Apartments located on Mysore Highway, Bangalore Near R.V College of Engg. Each apartment in Meda Greens has individually designed to ensure maximum ventilation, comfort and optimally sized to  



",Under Construction,"
Possession in 2018
","
2 BHK
Apartment

",262 Units ,3 Towers ,"(2 BHK Flat->1190 sqft), (2 BHK Flat->1220 sqft), (2 BHK Flat->1225 sqft), (2 BHK Flat->1288 sqft), (2 BHK Flat->1332 sqft), (2 BHK Flat->1388 sqft), (3 BHK Flat->1417 sqft), (3 BHK Flat->1440 sqft), (3 BHK Flat->1650 sqft), (3 BHK Flat->1702 sqft), (3 BHK Flat->1718 sqft), (3 BHK Flat->1735 sqft) ",,"lat=12.908906,longt=77.51243"
"
DS Max Savera
",DS MAX Properties,"
in Uttarahalli
, Bangalore

 
","1098
sqft","₹
43.9 Lac","₹
3,998 per
sqft","
Description:


It is an airy & ventilated beautiful Unit in DS Max Savera, Uttarahalli. Offering 2 bedroom and 1 bathroom, the Unit is Unfurnished. Apart from great space, it has modern amenities like Swimming Pool, Reserved Parking, Power  



",Under Construction,"
Possession in 2018
","
2 BHK
Apartment

",86 Units ,1 Towers ,"(2 BHK Flat->1065 sqft), (2 BHK Flat->1068 sqft), (2 BHK Flat->1098 sqft), (2 BHK Flat->1255 sqft), (3 BHK Flat->1845 sqft), (3 BHK Flat->1881 sqft) ",,"lat=12.908906,longt=77.51243"
"
DS Max Stonescape
",DS Max Properties,"
in AnjanaPura
, Bangalore

 
","1076
sqft","₹
30.1 Lac","₹
2,797 per
sqft","
Description:


The Home is on floor Ground of 3 and is built up in 1076 Sq-ft. The well planned Home has modern amenities like Swimming Pool, Lift, Power Back Up, Security and Gym. There is ample space for car parking. Offering 2 bedroom  



",Under Construction,"
Ongoing
","
2 BHK
Apartment

",141 Units ,1 Towers ,"(2 BHK Flat->830 sqft), (2 BHK Flat->1076 sqft), (3 BHK Flat->1228 sqft), (3 BHK Flat->1347 sqft), (3 BHK Flat->1456 sqft) ",,"lat=12.911755,longt=77.6684"
"
TG Ascent
",TG Developers,"
in Hosa Road
, Bangalore

 
","1578
sqft","₹
67.0 Lac","₹
4,246 per
sqft","
Description:


An abode with privileged amenities and proximity to IT Parks, hospitals and schools, T.G.Ascent is a rare opportunity for uncompromised living. Relax in lush gardens, Sprint on the jogging track, get fit in the gym, take a  



",Under Construction,"
Ongoing
","
3 BHK
Apartment

",336 Units ,4 Towers ,"(2 BHK Flat->1107 sqft), (2 BHK Flat->1108 sqft), (2 BHK Flat->1145 sqft), (2 BHK Flat->1229 sqft), (2 BHK Flat->1240 sqft), (3 BHK Flat->1359 sqft), (3 BHK Flat->1380 sqft), (3 BHK Flat->1440 sqft), (3 BHK Flat->1462 sqft), (3 BHK Flat->1578 sqft) ",,"lat=12.911755,longt=77.6684"
"
Mahaveer Palatium
",Mahaveer Group,"
in Electronic City
, Bangalore

 
","1200
sqft","₹
16.8 Lac","₹
1,400 per
sqft","
Description:


Residential plot is available for sale in Mahaveer Palatium. It is well maintained roads and beautiful landscape gardens. 



",Under Construction,"
Ongoing
","
Plot

",1230 Units ,,"(Residential Plot->1200 sqft), (Residential Plot->1500 sqft), (Residential Plot->2400 sqft) ",,"lat=12.911755,longt=77.6684"
"
Assetz Marq
",Assetz Property Group,"
in Whitefield
, Bangalore

 
","1496
sqft","₹
77.0 Lac","₹
5,147 per
sqft","
Description:


Assetz Marq This project is located at White Field Nearby Prominent Landmarks Near to Sai Baba Ashrama Extent of Land Area 28 Acres Development Type Residential G+8,12,13 floors  



",Ongoing,"
Ongoing
","
3 BHK
Apartment

",469 Units ,4 Towers ,"(2 BHK Flat->1277 sqft), (3 BHK Flat->1496 sqft) ",,"lat=12.911755,longt=77.6684"
"
Mahaveer Zephyr
",Mahaveer Group,"
in Bannerghatta Road
, Bangalore

 
","1071
sqft","₹
53.5 Lac","₹
4150 per
sqft","
Description:


Apartments that have enough space to just lie down and gaze with unabashed admiration at the twinkling stars on the azure skys 



",Ongoing,"
Ongoing
","
2 BHK
Apartment

",310 Units ,5 Towers ,"(2 BHK Flat->1031 sqft), (2 BHK Flat->1040 sqft), (2 BHK Flat->1044 sqft), (2 BHK Flat->1071 sqft), (2 BHK Flat->1075 sqft), (2 BHK Flat->1085 sqft), (2 BHK Flat->1106 sqft), (2 BHK Flat->1111 sqft), (2 BHK Flat->1116 sqft), (2 BHK Flat->1120 sqft), (2 BHK Flat->1134 sqft), (2 BHK Flat->1163 sqft), (2 BHK Flat->1187 sqft), (2 BHK Flat->1196 sqft), (2 BHK Flat->1211 sqft), (2 BHK Flat->1263 sqft), (3 BHK Flat->1356 sqft), (3 BHK Flat->1406 sqft), (3 BHK Flat->1410 sqft), (3 BHK Flat->1417 sqft), (3 BHK Flat->1419 sqft), (3 BHK Flat->1428 sqft), (3 BHK Flat->1438 sqft), (3 BHK Flat->1448 sqft), (3 BHK Flat->1456 sqft), (3 BHK Flat->1462 sqft), (3 BHK Flat->1505 sqft), (3 BHK Flat->1505 sqft) ",,"lat=12.911755,longt=77.6684"
"
Mahaveer Celesse
",Mahaveer Reddy Structures Pvt. Ltd.,"
in Bellary Road
, Bangalore

 
","1175
sqft","₹
66.0 Lac","₹
5612 per
sqft","
Description:


Mahaveer Celesse is a premium property that has been architected and designed for those seeking to invest in the beautiful vistas close to Hebbal, with a wide mlange of world class facilities just a short drive away. Come  



",Under Construction,"
Ongoing
","
2 BHK
Apartment

",545 Units ,8 Towers ,"(2 BHK Flat->1171 sqft), (2 BHK Flat->1175 sqft), (3 BHK Flat->1365 sqft), (3 BHK Flat->1562 sqft) ",,"lat=12.911755,longt=77.6684"
"
GR Shrushti
",GR Constructions,"
in Sarjapur Road
, Bangalore

 
","1115
sqft","₹
42.1 Lac","₹
3777 per
sqft","
Description:


Smallest wishes to bigger ones, collectively, reflect the inner desire to lead a lifestyle immersed in the lap of Mother Nature with a liberal sprinkling of urban comforts A cozy combo that can be identified with SANKALPA.  



",Ongoing,"
Ongoing
","
2 BHK
Apartment

",80 Units ,2 Towers ,"(1 BHK Flat->760 sqft), (1 BHK Flat->825 sqft), (2 BHK Flat->1015 sqft), (2 BHK Flat->1035 sqft), (2 BHK Flat->1040 sqft), (2 BHK Flat->1045 sqft), (2 BHK Flat->1115 sqft), (2 BHK Flat->1220 sqft), (3 BHK Flat->1210 sqft), (3 BHK Flat->1240 sqft) ",,"lat=12.911755,longt=77.6684"
"
DSR Waterscape
",DSR Infrastructure Private Limited,"
in Horamavu
, Bangalore

 
","1222
sqft","₹
64.8 Lac","₹
5,299 per
sqft","
Description:


DSR Waterscape offers seamless amusements options and infinite experiences that will make every day of your life exciting. And the sole inspiration behind them is you. The Wi-fi enabled ultra-modern Clubhouse features a  



",Under Construction,"
Ongoing
","
2 BHK
Apartment

",334 Units ,5 Towers ,"(2 BHK Flat->1179 sqft), (2 BHK Flat->1181 sqft), (2 BHK Flat->1190 sqft), (2 BHK Flat->1191 sqft), (2 BHK Flat->1222 sqft), (2 BHK Flat->1242 sqft), (2 BHK Flat->1251 sqft), (2 BHK Flat->1255 sqft), (3 BHK Flat->1523 sqft), (3 BHK Flat->1532 sqft), (3 BHK Flat->1680 sqft), (3 BHK Flat->1692 sqft), (3 BHK Flat->1730 sqft), (3 BHK Flat->1752 sqft), (3 BHK Flat->1760 sqft) ",,"lat=12.911755,longt=77.6684"
"
Sterling Pointe
",Sterling Developers Pvt Ltd.,"
in Hebbal
, Bangalore

 
","1795
sqft","₹
1.22 Cr","₹
6,835 per
sqft","
Description:


The property is very closely connected to BIAL, Mayanta Techpark and key hospitals. It is a 3BHK with 2 bathrooms and 2 balconies  



",Under Construction,"
Ongoing
","
3 BHK
Apartment

",32 Units ,2 Towers ,"(3 BHK Flat->1640 sqft), (3 BHK Flat->1795 sqft), (3 BHK Flat->1800 sqft), (3 BHK Flat->1805 sqft) ","RERA ID: PR/KN/170728/000148
","lat=12.911755,longt=77.6684"
"
Mirabilis
",Kolte Patil Developers,"
in Horamavu
, Bangalore

 
","1270
sqft","₹
61.9 Lac","₹
4,872 per
sqft","
Description:


Mirabilis : Offers you exclusively designed 1,2,2.5 &3 and 4 bedroom luxury apartments with futuristic lifestyle, embellished with the best of amenities for you and your family. It throws open the gates to an exclusive  



",Under Construction,"
Ongoing
","
2 BHK
Apartment

",640 Units ,7 Towers ,"(1 BHK Flat->436 sqft), (1 BHK Flat->459 sqft), (1 BHK Flat->500 sqft), (1 BHK Flat->526 sqft), (1 BHK Flat->639 sqft), (2 BHK Flat->1005 sqft), (2 BHK Flat->1114 sqft), (2 BHK Flat->1119 sqft), (2 BHK Flat->1133 sqft), (2 BHK Flat->1162 sqft), (2 BHK Flat->1270 sqft), (2 BHK Flat->1454 sqft), (3 BHK Flat->1504 sqft), (3 BHK Flat->1600 sqft), (4 BHK Flat->2282 sqft), (4 BHK Flat->2299 sqft) ",,"lat=12.911755,longt=77.6684"
"
Monarch Aqua
",Monarch Properties,"
in K R Puram
, Bangalore

 
","1291
sqft","₹
68.4 Lac","₹
5,298 per
sqft","
Description:


Monarch Aqua is an illustration of the modern day concept of luxury. With the numerous facilities and features that Monarch Aqua has to offer, it will soon become a landmark destination for Bangalore. A residential and  



",Under Construction,"
Ongoing
","
2 BHK
Apartment

",483 Units ,3 Towers ,"(2 BHK Flat->1103 sqft), (2 BHK Flat->1110 sqft), (2 BHK Flat->1110 sqft), (2 BHK Flat->1115 sqft), (2 BHK Flat->1192 sqft), (2 BHK Flat->1196 sqft), (2 BHK Flat->1206 sqft), (2 BHK Flat->1215 sqft), (2 BHK Flat->1217 sqft), (2 BHK Flat->1241 sqft), (2 BHK Flat->1250 sqft), (2 BHK Flat->1259 sqft), (2 BHK Flat->1261 sqft), (2 BHK Flat->1262 sqft), (2 BHK Flat->1280 sqft), (2 BHK Flat->1281 sqft), (2 BHK Flat->1281 sqft), (2 BHK Flat->1282 sqft), (2 BHK Flat->1291 sqft), (2 BHK Flat->1347 sqft), (2 BHK Flat->1588 sqft), (2 BHK Flat->1606 sqft), (3 BHK Flat->1363 sqft), (3 BHK Flat->1363 sqft), (3 BHK Flat->1364 sqft), (3 BHK Flat->1365 sqft), (3 BHK Flat->1572 sqft), (3 BHK Flat->1579 sqft), (3 BHK Flat->1581 sqft), (3 BHK Flat->1583 sqft), (3 BHK Flat->1583 sqft), (3 BHK Flat->1588 sqft), (3 BHK Flat->1589 sqft), (3 BHK Flat->1590 sqft), (3 BHK Flat->1604 sqft), (3 BHK Flat->1606 sqft), (3 BHK Flat->1697 sqft), (3 BHK Flat->1716 sqft), (3 BHK Flat->1719 sqft), (3 BHK Flat->2094 sqft), (3 BHK Flat->2127 sqft), (3 BHK Flat->2130 sqft), (3 BHK Flat->2204 sqft), (3 BHK Flat->2273 sqft), (4 BHK Flat->2130 sqft), (4 BHK Flat->2211 sqft), (4 BHK Flat->2362 sqft), (4 BHK Flat->2367 sqft), (4 BHK Flat->2400 sqft) ",,"lat=12.911755,longt=77.6684"
"
GR Regent Park
",GR GROUP,"
in Bannerghatta Road
, Bangalore

 
","1660
sqft","₹
74.7 Lac","₹
4500 per
sqft","
Description:


Two glorious decades and we've built more than just homes. What we've also built is a reputation for ourselves - a reputation of being reliable, precise, responsible and secure. With the same intent of building trust in your  



",Ongoing,"
Ready To Move
","
3 BHK
Apartment

",204 Units ,4 Towers ,"(2 BHK Flat->946 sqft), (2 BHK Flat->1150 sqft), (2 BHK Flat->1280 sqft), (2 BHK Flat->1330 sqft), (3 BHK Flat->1640 sqft), (3 BHK Flat->1660 sqft), (3 BHK Flat->2140 sqft), (3 BHK Flat->2160 sqft), (3 BHK Flat->2290 sqft), (3 BHK Flat->2350 sqft) ",,"lat=12.817233,longt=77.79295"
"
SSB Royale
",Sree Sai Balaji Developers,"
in Hosa Road
, Bangalore

 
","1097
sqft","₹
42.7 Lac","₹
3889 per
sqft","
Description:


SSB ROYALE"" is the BBMP approved A katha, CC 



",Ongoing,"
Ongoing
","
2 BHK
Apartment

",96 Units ,2 Towers ,"(2 BHK Flat->1016 sqft), (2 BHK Flat->1025 sqft), (2 BHK Flat->1052 sqft), (2 BHK Flat->1062 sqft), (2 BHK Flat->1064 sqft), (2 BHK Flat->1083 sqft), (2 BHK Flat->1096 sqft), (2 BHK Flat->1097 sqft), (2 BHK Flat->1101 sqft), (2 BHK Flat->1104 sqft), (2 BHK Flat->1105 sqft), (2 BHK Flat->1116 sqft), (2 BHK Flat->1120 sqft), (2 BHK Flat->1130 sqft), (2 BHK Flat->1132 sqft), (2 BHK Flat->1152 sqft), (2 BHK Flat->1154 sqft), (2 BHK Flat->1156 sqft), (2 BHK Flat->1181 sqft), (2 BHK Flat->1185 sqft), (2 BHK Flat->1222 sqft), (2 BHK Flat->1226 sqft), (3 BHK Flat->1260 sqft) ",,"lat=12.911755,longt=77.6684"
"
HM Indigo
",HM Constructions,"
in JP Nagar 9th Phase
, Bangalore

 
","1265
sqft","₹
67.9 Lac","₹
5,368 per
sqft","
Description:


The apartment is Off Kanakapura Road,Konankunte Cross, J.P Nagar 9th Phase, Raghavanapalya, Bangalore. It has proximity to major destinations of the city. The house has centralized home automation system for you to live  



",Ongoing,"
Ongoing
","
2 BHK
Apartment

",103 Units ,1 Towers ,"(2 BHK Flat->1164 sqft), (2 BHK Flat->1265 sqft), (2 BHK Flat->1323 sqft), (2 BHK Flat->1331 sqft), (2 BHK Flat->1377 sqft), (2 BHK Flat->1466 sqft), (3 BHK Flat->1559 sqft), (3 BHK Flat->1569 sqft), (3 BHK Flat->1595 sqft), (3 BHK Flat->1624 sqft), (3 BHK Flat->1660 sqft), (3 BHK Flat->1704 sqft), (3 BHK Flat->1719 sqft), (3 BHK Flat->1758 sqft), (3 BHK Flat->1770 sqft), (3 BHK Flat->1780 sqft), (3 BHK Flat->1814 sqft), (3 BHK Flat->1846 sqft) ",,"lat=12.911755,longt=77.6684"
"
Sowparnika Sanvi Phase 2
",Sowparnika Properties Pvt Ltd,"
in Whitefield
, Bangalore

 
","1191
sqft","₹
47.6 Lac","₹
3,999 per
sqft","
Description:


A perfect combination of peaceful living with some of the most modern facilities. Sanvi Phase II homes offers a breathtaking lifestyle to all its residents. Create your own evergreen memorable moments at Sanvi Phase II  



",Ongoing,"
Ongoing
","
2 BHK
Apartment

",220 Units ,4 Towers ,"(2 BHK Flat->1160 sqft), (2 BHK Flat->1191 sqft), (2 BHK Flat->1226 sqft), (2 BHK Flat->1256 sqft), (3 BHK Flat->1362 sqft), (3 BHK Flat->1461 sqft), (3 BHK Flat->1472 sqft), (3 BHK Flat->1485 sqft), (3 BHK Flat->1571 sqft) ",,"lat=12.911755,longt=77.6684"
"
TG Lake Vista
",TG Developers,"
in Begur Road
, Bangalore

 
","1230
sqft","₹
52.1 Lac","₹
4,236 per
sqft","
Description:


It is a well-designed spacious Unit in TG Lake Vista, Begur Road. 52. 1 Lac is the expected price for this Unit. The well ventilated Unit has state-of-the-art amenities like Swimming Pool, Power Back Up, Security, Gym and  



",Ready To Move,"
Ready To Move
","
2 BHK
Apartment

",128 Units ,3 Towers ,"(2 BHK Flat->1097 sqft), (2 BHK Flat->1126 sqft), (2 BHK Flat->1150 sqft), (2 BHK Flat->1167 sqft), (2 BHK Flat->1185 sqft), (2 BHK Flat->1187 sqft), (2 BHK Flat->1208 sqft), (2 BHK Flat->1209 sqft), (2 BHK Flat->1227 sqft), (2 BHK Flat->1230 sqft), (3 BHK Flat->1625 sqft) ",,"lat=12.817233,longt=77.79295"
"
DS Max Sky Classic
",DS MAX Properties Private Limited,"
in Electronics City Phase 1
, Bangalore

 
","933
sqft","₹
25.1 Lac","₹
2,690 per
sqft","
Description:


It is an airy & ventilated beautiful Flat built in DS Max Sky Classic, Electronics City Phase 1. 25. 1 Lac is what the price expected for the Flat. This elegantly designed Flat has modern amenities like Reserved Parking,  



",Ongoing,"
Ready To Move
","
2 BHK
Apartment

",231 Units ,1 Towers ,"(2 BHK Flat->933 sqft), (2 BHK Flat->951 sqft), (2 BHK Flat->1007 sqft), (3 BHK Flat->1203 sqft) ",,"lat=12.817233,longt=77.79295"
"
DS MAX Skyscape
",DS MAX Properties Private Limited,"
in Horamavu
, Bangalore

 
","1866
sqft","₹
61.6 Lac","₹
3,300 per
sqft","
Description:


3 BHK flats located in horamavu BBMP office near SSR college Rampura, Under construction project, completion in with in 8 months, The current project status tiles work started 



",Ongoing,"
Ready To Move
","
3 BHK
Apartment

",65 Units ,1 Towers ,"(3 BHK Flat->1866 sqft), (3 BHK Flat->2235 sqft) ",,"lat=12.817233,longt=77.79295"
"
Mahaveer Ranches
",Mahaveer Group,"
in Hosa Road
, Bangalore

 
","1518
sqft","₹
91.0 Lac","₹
5,992 per
sqft","
Description:


It is a well-designed spacious Unit situated in Mahaveer Ranches, Hosa Road. Apart from great space, it offers latest facilities such as like Food Court and Banquet Hall. With 3 room and 3 bathroom, the Unit is Unfurnished.  



",Under Construction,"
Ready To Move
","
3 BHK
Apartment

",513 Units ,10 Towers ,"(2 BHK Flat->1161 sqft), (3 BHK Flat->1364 sqft), (3 BHK Flat->1518 sqft) ",,"lat=12.817233,longt=77.79295"
"
DS MAX Skylishcious
",DS MAX Properties Private Limited,"
in Sarjapur Road
, Bangalore

 
","805
sqft","₹
22.5 Lac","₹
2,795 per
sqft","
Description:


This is a spacious Apartment built in DS MAX Skylishcious, Sarjapur Road. This Apartment has an area of 805 Sq-ft on floor Ground of 3 storey building. Apart from great space, it has modern amenities like Swimming Pool,  



",Ongoing,"
Ready To Move
","
2 BHK
Apartment

",260 Units ,7 Towers ,"(1 BHK Flat->633 sqft), (2 BHK Flat->805 sqft), (2 BHK Flat->940 sqft), (3 BHK Flat->1174 sqft), (3 BHK Flat->1367 sqft), (3 BHK Flat->1388 sqft), (3 BHK Flat->1486 sqft) ",,"lat=12.817233,longt=77.79295"
