Project_name,project_by,location,Super Built Area,Price Range,Price Per Sq Ft,Description,Project Status,possession_date,Bedrooms,units,towers,unit_price,rera_no,lat_lng
"
Hara Vijaya Heights
",Vijaya Enterprises,"
in Kanakapura Road
, Bangalore

 
","1220
sqft","₹
60.0 Lac","₹
4918 per
sqft","
Description:


65% open space, centre to all major schools, colleges, malls. 



",Ongoing,"
Possession in 2018
","
2 BHK
Apartment

",242 Units ,3 Towers ,"(2 BHK Flat->975 sqft), (2 BHK Flat->1100 sqft), (2 BHK Flat->1125 sqft), (2 BHK Flat->1180 sqft), (2 BHK Flat->1220 sqft), (3 BHK Flat->1525 sqft), (3 BHK Flat->1535 sqft), (3 BHK Flat->1610 sqft), (3 BHK Flat->1625 sqft), (3 BHK Flat->1630 sqft) ",,"lat=13.007085,longt=77.73972"
"
DSR White Waters
",DSR Infrastructure,"
in Sarjapur Road
, Bangalore

 
","1128
sqft","₹
50.1 Lac","₹
4,441 per
sqft","
Description:


Located on Carmelaram Road, Gunjur, off Sarjapur Road, DSR White Waters is just minutes away from Wipro corporate office. In the close vicinity are numerous IT parks, prestigious MNCs, respected educational institutions,  



",Under Construction,"
Possession in 2018
","
2 BHK
Apartment

",221 Units ,3 Towers ,"(2 BHK Flat->1061 sqft), (2 BHK Flat->1082 sqft), (2 BHK Flat->1091 sqft), (2 BHK Flat->1109 sqft), (2 BHK Flat->1111 sqft), (2 BHK Flat->1116 sqft), (2 BHK Flat->1128 sqft), (3 BHK Flat->1362 sqft), (3 BHK Flat->1410 sqft), (3 BHK Flat->1435 sqft), (3 BHK Flat->1496 sqft), (3 BHK Flat->1544 sqft), (3 BHK Flat->1589 sqft), (3 BHK Flat->1647 sqft) ",,"lat=13.007085,longt=77.73972"
"
SBR Horizon
",SBR Group,"
in Whitefield
, Bangalore

 
","747
sqft","₹
35.8 Lac","₹
4,794 per
sqft","
Description:


This spacious Apartment is on floor 5 of 9 and is built up in 747 Sq-ft. The well planned Apartment features contemporary facilities like Swimming Pool, Jogging and Strolling Track and Club House. There is space for car  



",Under Construction,"
Possession in 2018
","
1 BHK
Apartment

",180 Units ,5 Towers ,"(1 BHK Flat->747 sqft), (2 BHK Flat->910 sqft), (2 BHK Flat->1134 sqft), (2 BHK Flat->1197 sqft), (3 BHK Flat->1218 sqft), (3 BHK Flat->1230 sqft), (3 BHK Flat->1233 sqft), (3 BHK Flat->1632 sqft), (4 BHK Flat->1792 sqft) ",,"lat=13.007085,longt=77.73972"
"
Sowparnika Tharangini
",Sowparnika Projects & Infrastructure,"
in Sarjapur Road
, Bangalore

 
","946
sqft","₹
25.5 Lac","₹
2,696 per
sqft","
Description:


This Apartment has an area of 946 Sq-ft is on second floor of 3 levels. Granite is used on floors. There is space for car parking. With 2 room along with 2 bathrooms, the Apartment is Unfurnished. Each tower has 2 lifts.  



",Under Construction,"
Possession in 2018
","
2 BHK
Apartment

",160 Units ,2 Towers ,"(2 BHK Flat->868 sqft), (2 BHK Flat->946 sqft), (2 BHK Flat->952 sqft), (2 BHK Flat->974 sqft), (2 BHK Flat->1014 sqft), (3 BHK Flat->1249 sqft), (3 BHK Flat->1252 sqft), (3 BHK Flat->1322 sqft), (3 BHK Flat->1364 sqft) ",,"lat=13.007085,longt=77.73972"
"
Assetz Here and Now
",,"
in Manyata Tech Park
, Bangalore
","995
sqft","₹
67.0 Lac","₹
6,734 per
sqft","
Description:


Here and Now presented by Assetz Property Group is located at Thanisandra in Bangalore. 



",Under Construction,"
Possession in 2018
","
2 BHK
Apartment

",,,"(1 BHK Studio Apartment->440 sqft), (Studio Apartment->690 sqft), (1 BHK Flat->660 sqft), (1 BHK Flat->690 sqft), (2 BHK Flat->985 sqft), (2 BHK Flat->990 sqft), (2 BHK Flat->995 sqft), (3 BHK Flat->1385 sqft) ",,"lat=12.908906,longt=77.51243"
"
DS MAX Silver Wood
",DS MAX Properties Private Limited,"
in Bommasandra
, Bangalore

 
","1127
sqft","₹
28.1 Lac","₹
2,493 per
sqft","
Description:


It is a well-designed beautiful Flat in DS MAX Silver Wood, Bommasandra. The Flat is on level Ground of 3 and has an area of 1127 Sq-ft. Apart from great space, it offers latest facilities such as like Swimming Pool,  



",Ongoing,"
Possession in 2018
","
2 BHK
Apartment

",85 Units ,1 Towers ,"(2 BHK Flat->1050 sqft), (2 BHK Flat->1058 sqft), (2 BHK Flat->1127 sqft), (3 BHK Flat->1276 sqft), (3 BHK Flat->1745 sqft) ",,"lat=12.908906,longt=77.51243"
"
Pyramid Mahika
",Pyramid Builders And Developers,"
in Yelahanka
, Bangalore

 
","1484
sqft","₹
57.9 Lac","₹
3,902 per
sqft","
Description:


It is an airy & ventilated spacious Home in Pyramid Mahika, Yelahanka. Around 57. 9 Lac is the value for the Home. The well ventilated Home offers latest facilities such as like Swimming Pool, Reserved Parking, Power Back  



",Ongoing,"
Possession in 2018
","
3 BHK
Apartment

",212 Units ,4 Towers ,"(2 BHK Flat->935 sqft), (2 BHK Flat->972 sqft), (2 BHK Flat->990 sqft), (2 BHK Flat->994 sqft), (2 BHK Flat->1021 sqft), (2 BHK Flat->1036 sqft), (3 BHK Flat->1314 sqft), (3 BHK Flat->1348 sqft), (3 BHK Flat->1400 sqft), (3 BHK Flat->1484 sqft), (3 BHK Flat->1512 sqft), (3 BHK Flat->1657 sqft), (3 BHK Flat->1756 sqft) ",,"lat=12.908906,longt=77.51243"
"
RBD Stillwaters
",RBD Shelters,"
in Sarjapur Road
, Bangalore

 
","2045
sqft","₹
1.0 Cr","₹
4,890 per
sqft","
Description:


This is a well apppointed beautiful Unit situated in RBD Stillwaters, Sarjapur Road. With 3 room and 3 spacious bathrooms, the Unit is Unfurnished. 1 Cr is the value for this Unit. The Unit brings facilities like Power Back  



",Ongoing,"
Possession in 2018
","
3 BHK
Apartment

",288 Units ,3 Towers ,"(2 BHK Flat->1485 sqft), (3 BHK Flat->1690 sqft), (3 BHK Flat->1790 sqft), (3 BHK Flat->1850 sqft), (3 BHK Flat->1875 sqft), (3 BHK Flat->2045 sqft), (3 BHK Flat->2176 sqft), (4 BHK Villa->3248 sqft), (4 BHK Villa->4294 sqft), (4 BHK Villa->3345 sqft), (4 BHK Villa->2629 sqft), (4 BHK Villa->2352 sqft), (4 BHK Villa->3245 sqft), (4 BHK Villa->4387 sqft) ",,"lat=13.007085,longt=77.73972"
"
Sree Adithya Elite
",Sree Adithya Developers,"
in Seegehalli-K R Puram
, Bangalore

 
","1110
sqft","₹
43.8 Lac","₹
3,950 per
sqft","
Description:


2 BHK Flat This is a beautiful flat for sale in a very good location KR Puram, Bangalore. Spread in an area of 1016 sqft this flat is very near to all the important places like ITI Central School. This one is unfurnished  



",Under Construction,"
Possession in 2018
","
2 BHK
Apartment

",80 Units ,1 Towers ,"(2 BHK Flat->1016 sqft), (2 BHK Flat->1026 sqft), (2 BHK Flat->1041 sqft), (2 BHK Flat->1050 sqft), (2 BHK Flat->1055 sqft), (2 BHK Flat->1060 sqft), (2 BHK Flat->1064 sqft), (2 BHK Flat->1065 sqft), (2 BHK Flat->1066 sqft), (2 BHK Flat->1110 sqft), (3 BHK Flat->1280 sqft), (3 BHK Flat->1451 sqft) ",,"lat=13.007085,longt=77.73972"
"
Poetree
",ESSEM18,"
in Sarjapur Road
, Bangalore

 
","1636
sqft","₹
89.1 Lac","₹
5,446 per
sqft","
Description:


Presenting Poetree, another bespoke development by Essem18, a delectable lifestyle apartment complex. An impeccable complement of 5 stories of 158 exclusive units, with a selection of 2 and 3 bedroom apartments, spread over  



",Ready To Move,"
Possession in 2018
","
3 BHK
Apartment

",158 Units ,3 Towers ,"(3 BHK Flat->1477 sqft), (3 BHK Flat->1511 sqft), (3 BHK Flat->1624 sqft), (3 BHK Flat->1636 sqft) ",,"lat=12.908906,longt=77.51243"
